"Wife_age","Wife_education","Husband_education","Number_children_born","Wife_religion","Wife_working","Husband_occupation","Standard_living_index","Media_exposure","Contraceptive_used"
13,"3","4",2,01,01,"3","1",01,"1"
11,"4","4",2,01,01,"1","3",01,"1"
11,"3","3",4,01,01,"2","4",01,"1"
9,"4","4",3,01,01,"3","3",01,"1"
6,"3","3",3,01,01,"2","2",01,"1"
15,"4","4",3,01,01,"3","1",01,"1"
5,"4","4",2,01,01,"1","4",01,"1"
18,"4","4",3,01,01,"1","3",01,"1"
15,"4","4",1,01,01,"3","3",01,"1"
32,"4","4",2,01,01,"1","3",01,"1"
20,"4","4",3,01,01,"3","3",01,"1"
15,"2","4",3,01,01,"3","4",01,"1"
18,"4","4",4,01,01,"1","4",01,"1"
30,"4","4",5,01,01,"2","3",01,"1"
26,"4","4",3,01,01,"1","4",01,"1"
17,"4","4",2,01,01,"1","3",01,"1"
28,"4","4",6,01,01,"1","4",01,"1"
29,"4","4",4,01,01,"2","4",01,"1"
6,"1","3",5,01,01,"3","2",01,"1"
29,"3","4",3,01,01,"1","4",01,"1"
8,"4","4",3,01,01,"2","4",01,"1"
32,"1","2",5,01,01,"2","2",01,"1"
32,"1","1",8,01,01,"2","3",01,"1"
20,"4","4",3,01,01,"2","4",01,"1"
17,"2","4",5,01,01,"3","2",01,"1"
30,"1","4",6,01,01,"1","2",01,"1"
7,"2","2",3,01,01,"3","1",01,"1"
8,"1","1",4,01,01,"2","1",01,"1"
15,"4","4",1,01,01,"1","4",01,"1"
29,"1","3",1,01,01,"2","3",01,"1"
25,"3","3",2,01,01,"3","3",01,"1"
19,"4","4",5,01,01,"2","3",01,"1"
22,"3","4",2,01,01,"2","4",01,"1"
34,"3","4",6,01,01,"1","4",01,"1"
11,"4","4",2,01,01,"1","4",01,"1"
7,"4","4",1,01,01,"2","4",01,"1"
5,"3","4",1,01,01,"2","4",01,"1"
32,"4","4",5,01,01,"1","4",01,"1"
34,"2","2",9,01,01,"3","1",01,"1"
7,"2","4",2,01,01,"2","4",01,"1"
7,"3","3",3,01,01,"3","4",01,"1"
10,"3","2",3,01,01,"3","2",01,"1"
17,"2","4",1,01,01,"3","4",01,"1"
13,"4","4",1,01,01,"1","3",01,"1"
15,"2","4",5,01,01,"1","4",01,"1"
30,"2","4",3,01,01,"2","4",01,"1"
34,"2","1",11,01,01,"2","4",01,"1"
19,"4","4",3,01,01,"1","4",01,"1"
10,"2","4",2,01,01,"2","2",01,"1"
27,"1","3",13,01,01,"3","3",01,"1"
33,"2","1",4,01,01,"4","3",01,"1"
20,"3","4",6,01,01,"2","2",01,"1"
18,"2","3",2,01,01,"3","4",01,"1"
5,"2","4",1,01,01,"3","2",01,"1"
21,"2","3",5,01,01,"3","1",01,"1"
4,"3","3",3,01,01,"3","2",01,"1"
12,"3","2",4,01,01,"3","2",01,"1"
15,"1","2",5,01,01,"4","1",01,"1"
16,"3","4",4,01,01,"3","2",01,"1"
29,"1","1",12,01,01,"4","1",01,"1"
9,"3","3",3,01,01,"3","3",01,"1"
3,"3","4",1,01,01,"3","1",01,"1"
30,"1","2",7,01,01,"3","3",01,"1"
10,"2","2",4,01,01,"3","1",01,"1"
21,"3","4",7,01,01,"2","4",01,"1"
15,"1","1",6,01,01,"2","2",01,"1"
17,"2","4",3,01,01,"3","3",01,"1"
27,"1","4",12,01,01,"2","2",01,"1"
7,"2","4",1,01,01,"3","3",01,"1"
21,"2","4",3,01,01,"2","4",01,"1"
12,"2","3",3,01,01,"3","3",01,"1"
25,"3","4",2,01,01,"1","2",01,"1"
7,"2","3",3,01,01,"3","1",01,"1"
11,"2","4",1,01,01,"3","1",01,"1"
16,"3","4",1,01,01,"2","3",01,"1"
17,"4","4",2,01,01,"1","4",01,"1"
19,"2","3",4,01,01,"3","2",01,"1"
25,"3","3",2,01,01,"3","4",01,"1"
30,"1","2",2,01,01,"3","3",01,"1"
11,"3","4",4,01,01,"3","2",01,"1"
33,"1","3",6,01,01,"3","2",01,"1"
28,"1","3",9,01,01,"3","1",01,"1"
12,"3","4",3,01,01,"2","2",01,"1"
27,"3","2",2,01,01,"3","3",01,"1"
19,"3","2",9,01,01,"2","3",01,"1"
17,"3","2",5,01,01,"2","2",01,"1"
16,"3","3",3,01,01,"2","3",01,"1"
7,"2","3",2,01,01,"3","3",01,"1"
12,"3","4",1,01,01,"3","3",01,"1"
22,"1","2",3,01,01,"2","2",01,"1"
7,"1","2",1,01,01,"2","4",01,"1"
32,"4","4",5,01,01,"1","4",01,"1"
17,"4","4",5,01,01,"1","3",01,"1"
22,"3","3",3,01,01,"1","4",01,"1"
30,"1","3",2,01,01,"2","3",01,"1"
32,"1","4",9,01,01,"3","3",01,"1"
13,"3","4",1,01,01,"3","2",01,"1"
33,"1","3",5,01,01,"3","4",01,"1"
11,"2","4",2,01,01,"1","3",01,"1"
6,"3","4",1,01,01,"3","1",01,"1"
5,"2","3",2,01,01,"2","4",01,"1"
24,"1","1",6,01,01,"3","1",01,"1"
12,"2","3",2,01,01,"3","4",01,"1"
22,"2","3",6,01,01,"3","2",01,"1"
9,"4","4",2,01,01,"3","3",01,"1"
24,"3","3",7,01,01,"3","3",01,"1"
5,"3","3",2,01,01,"2","3",01,"1"
4,"3","4",2,01,01,"2","3",01,"1"
25,"3","3",5,01,01,"2","2",01,"1"
26,"1","4",5,01,01,"3","3",01,"1"
7,"4","4",3,01,01,"1","3",01,"1"
17,"3","4",5,01,01,"1","4",01,"1"
19,"4","4",3,01,01,"1","4",01,"1"
19,"4","4",3,01,01,"1","3",01,"1"
8,"4","4",3,01,01,"1","4",01,"1"
12,"4","4",2,01,01,"1","2",01,"1"
31,"3","2",12,01,01,"2","2",01,"1"
19,"4","4",4,01,01,"1","2",01,"1"
18,"4","4",6,01,01,"3","3",01,"1"
10,"3","3",2,01,01,"3","2",01,"1"
11,"4","4",2,01,01,"1","4",01,"1"
33,"1","3",5,01,01,"3","3",01,"1"
21,"4","4",3,01,01,"3","3",01,"1"
23,"3","4",3,01,01,"2","4",01,"1"
29,"1","2",8,01,01,"3","4",01,"1"
29,"2","2",2,01,01,"3","2",01,"1"
24,"3","3",2,01,01,"3","4",01,"1"
32,"1","2",8,01,01,"3","2",01,"1"
28,"1","3",6,01,01,"3","2",01,"1"
14,"3","3",4,01,01,"2","4",01,"1"
7,"3","3",1,01,01,"2","2",01,"1"
16,"2","4",6,01,01,"3","2",01,"1"
7,"4","4",1,01,01,"1","3",01,"1"
30,"3","4",7,01,01,"2","4",01,"1"
27,"3","4",11,01,01,"3","2",01,"1"
23,"3","3",8,01,01,"3","1",01,"1"
32,"1","1",7,01,01,"3","1",01,"1"
15,"4","4",3,01,01,"1","4",01,"1"
13,"3","4",2,01,01,"3","4",01,"1"
10,"3","4",2,01,01,"2","1",01,"1"
34,"2","4",7,01,01,"2","3",01,"1"
8,"3","4",3,01,01,"2","3",01,"1"
20,"3","4",2,01,01,"2","3",01,"1"
32,"2","1",6,01,01,"2","4",01,"1"
20,"2","3",1,01,01,"2","4",01,"1"
29,"3","4",7,01,01,"3","4",01,"1"
33,"4","4",4,01,01,"2","4",01,"1"
28,"2","3",7,01,01,"3","3",01,"1"
6,"2","4",3,01,01,"3","1",01,"1"
7,"4","4",1,01,01,"1","4",01,"1"
26,"3","3",6,01,01,"3","4",01,"1"
14,"2","4",3,01,01,"4","4",01,"1"
29,"4","4",6,01,01,"2","4",01,"1"
7,"4","4",1,01,01,"1","4",01,"1"
8,"2","4",5,01,01,"3","3",01,"1"
7,"2","1",1,01,01,"3","2",01,"1"
20,"1","3",1,01,01,"2","2",01,"1"
9,"4","4",2,01,01,"2","2",01,"1"
21,"4","4",5,01,01,"1","4",01,"1"
32,"1","2",3,01,01,"2","4",01,"1"
25,"4","4",4,01,01,"3","4",01,"1"
14,"4","4",2,01,01,"1","3",01,"1"
34,"3","4",7,01,01,"1","4",01,"1"
34,"3","4",10,01,01,"1","4",01,"1"
32,"4","4",3,01,01,"1","4",01,"1"
13,"4","4",4,01,01,"1","4",01,"1"
11,"4","4",2,01,01,"1","4",01,"1"
14,"1","2",8,01,01,"2","4",01,"1"
14,"4","2",1,01,01,"2","2",01,"1"
10,"3","3",2,01,01,"3","4",01,"1"
9,"2","4",3,01,01,"3","4",01,"1"
8,"4","4",2,01,01,"2","4",01,"1"
8,"4","4",3,01,01,"3","3",01,"1"
29,"1","2",3,01,01,"2","4",01,"1"
24,"3","4",7,01,01,"1","4",01,"1"
6,"3","3",1,01,01,"2","2",01,"1"
7,"3","4",3,01,01,"2","3",01,"1"
32,"3","4",4,01,01,"2","3",01,"1"
21,"3","3",3,01,01,"2","4",01,"1"
10,"1","4",3,01,01,"3","3",01,"1"
25,"4","4",3,01,01,"3","4",01,"1"
21,"2","2",1,01,01,"3","3",01,"1"
22,"2","3",6,01,01,"2","4",01,"1"
13,"1","4",3,01,01,"2","3",01,"1"
15,"3","3",6,01,01,"3","4",01,"1"
1,"3","4",2,01,01,"3","3",01,"1"
17,"2","3",5,01,01,"2","4",01,"1"
25,"4","4",4,01,01,"3","4",01,"1"
25,"1","1",3,01,01,"3","4",01,"1"
30,"3","4",3,01,01,"1","4",01,"1"
6,"1","3",1,01,01,"3","4",01,"1"
13,"4","4",2,01,01,"1","3",01,"1"
10,"4","4",2,01,01,"2","3",01,"1"
29,"1","3",5,01,01,"3","3",01,"1"
20,"4","4",3,01,01,"3","4",01,"1"
34,"4","4",5,01,01,"3","4",01,"1"
24,"3","4",2,01,01,"3","4",01,"1"
17,"3","4",2,01,01,"2","4",01,"1"
20,"1","2",1,01,01,"4","4",01,"1"
6,"1","2",2,01,01,"3","4",01,"1"
32,"4","4",2,01,01,"1","4",01,"1"
12,"4","4",2,01,01,"3","4",01,"1"
16,"2","2",9,01,01,"2","2",01,"1"
19,"4","3",1,01,01,"3","3",01,"1"
15,"4","4",4,01,01,"2","4",01,"1"
10,"4","4",1,01,01,"2","4",01,"1"
13,"3","4",4,01,01,"2","1",01,"1"
15,"2","3",5,01,01,"3","2",01,"1"
27,"3","3",9,01,01,"4","3",01,"1"
8,"4","4",1,01,01,"2","4",01,"1"
30,"3","4",4,01,01,"3","4",01,"1"
6,"4","4",2,01,01,"3","3",01,"1"
13,"4","4",2,01,01,"2","4",01,"1"
18,"4","4",2,01,01,"3","4",01,"1"
17,"1","2",5,01,01,"3","2",01,"1"
10,"2","2",4,01,01,"3","3",01,"1"
10,"3","3",2,01,01,"3","1",01,"1"
4,"2","2",3,01,01,"3","1",01,"1"
25,"1","2",7,01,01,"3","1",01,"1"
9,"2","2",3,01,01,"3","1",01,"1"
17,"2","2",2,01,01,"2","1",01,"1"
20,"2","3",9,01,01,"3","2",01,"1"
12,"2","2",2,01,01,"3","2",01,"1"
8,"2","4",3,01,01,"1","4",01,"1"
7,"2","4",5,01,01,"3","4",01,"1"
34,"2","3",1,01,01,"1","2",01,"1"
10,"2","3",1,01,01,"2","4",01,"1"
3,"3","4",2,01,01,"3","1",01,"1"
28,"3","3",5,01,01,"2","4",01,"1"
22,"1","3",1,01,01,"3","4",01,"1"
15,"2","3",3,01,01,"2","4",01,"1"
14,"3","2",1,01,01,"2","2",01,"1"
5,"2","3",4,01,01,"3","4",01,"1"
27,"3","3",4,01,01,"2","4",01,"1"
8,"4","4",2,01,01,"2","3",01,"1"
19,"2","3",8,01,01,"3","3",01,"1"
8,"3","3",7,01,01,"3","3",01,"1"
23,"3","3",6,01,01,"1","4",01,"1"
22,"2","3",5,01,01,"2","3",01,"1"
2,"2","3",2,01,01,"3","2",01,"1"
24,"3","4",4,01,01,"1","4",01,"1"
34,"1","3",1,01,01,"3","3",01,"1"
8,"3","3",3,01,01,"2","2",01,"1"
25,"3","3",4,01,01,"2","2",01,"1"
17,"2","4",6,01,01,"2","3",01,"1"
3,"2","3",2,01,01,"2","3",01,"1"
31,"1","2",9,01,01,"3","3",01,"1"
22,"3","3",7,01,01,"2","2",01,"1"
23,"2","4",6,01,01,"2","2",01,"1"
22,"2","3",3,01,01,"3","3",01,"1"
10,"2","3",2,01,01,"2","1",01,"1"
23,"2","4",6,01,01,"3","3",01,"1"
24,"4","4",3,01,01,"1","4",01,"1"
29,"4","4",4,01,01,"1","4",01,"1"
4,"4","4",1,01,01,"3","4",01,"1"
13,"2","4",2,01,01,"3","4",01,"1"
5,"2","3",2,01,01,"3","4",01,"1"
18,"4","4",1,01,01,"3","3",01,"1"
18,"4","4",6,01,01,"3","4",01,"1"
32,"1","4",7,01,01,"1","4",01,"1"
10,"3","3",1,01,01,"3","4",01,"1"
14,"4","4",1,01,01,"2","4",01,"1"
22,"4","4",3,01,01,"1","4",01,"1"
34,"1","3",7,01,01,"2","4",01,"1"
33,"1","1",9,01,01,"2","2",01,"1"
4,"2","2",1,01,01,"2","2",01,"1"
31,"1","2",4,01,01,"2","1",01,"1"
24,"1","2",3,01,01,"3","1",01,"1"
15,"3","4",6,01,01,"1","4",01,"1"
25,"2","2",9,01,01,"2","2",01,"1"
28,"1","2",2,01,01,"3","4",01,"1"
14,"3","4",5,01,01,"1","3",01,"1"
8,"3","3",3,01,01,"3","3",01,"1"
9,"2","2",4,01,01,"2","4",01,"1"
32,"3","3",3,01,01,"2","4",01,"1"
20,"3","3",3,01,01,"2","2",01,"1"
4,"3","3",2,01,01,"2","4",01,"1"
30,"2","3",5,01,01,"2","4",01,"1"
27,"2","4",3,01,01,"3","4",01,"1"
32,"1","1",2,01,01,"3","4",01,"1"
10,"2","2",3,01,01,"3","1",01,"1"
5,"2","3",4,01,01,"3","4",01,"1"
18,"3","3",7,01,01,"3","4",01,"2"
31,"4","3",6,01,01,"1","4",01,"2"
20,"4","4",5,01,01,"1","4",01,"2"
11,"4","4",3,01,01,"1","4",01,"2"
21,"3","3",6,01,01,"1","3",01,"2"
22,"3","4",4,01,01,"1","3",01,"2"
29,"2","4",5,01,01,"3","3",01,"2"
17,"4","4",3,01,01,"1","4",01,"2"
10,"2","4",7,01,01,"3","4",01,"2"
27,"2","3",8,01,01,"3","4",01,"2"
15,"4","4",3,01,01,"1","4",01,"2"
24,"4","4",5,01,01,"1","4",01,"2"
11,"1","1",3,01,01,"3","4",01,"2"
15,"2","4",4,01,01,"3","4",01,"2"
23,"4","4",5,01,01,"1","2",01,"2"
8,"4","4",2,01,01,"1","2",01,"2"
3,"3","4",2,01,01,"3","4",01,"2"
10,"3","4",4,01,01,"2","3",01,"2"
22,"4","4",3,01,01,"3","3",01,"2"
5,"3","4",2,01,01,"3","2",01,"2"
30,"4","4",8,01,01,"1","4",01,"2"
13,"2","1",3,01,01,"3","3",01,"2"
18,"2","2",4,01,01,"2","3",01,"2"
13,"2","3",3,01,01,"3","3",01,"2"
15,"2","4",2,01,01,"3","4",01,"2"
17,"4","4",5,01,01,"2","4",01,"2"
33,"4","3",8,01,01,"2","4",01,"2"
31,"4","4",3,01,01,"1","4",01,"2"
17,"4","4",3,01,01,"1","4",01,"2"
34,"4","4",11,01,01,"1","4",01,"2"
18,"2","2",7,01,01,"3","4",01,"2"
24,"4","4",4,01,01,"1","4",01,"2"
20,"4","4",6,01,01,"1","4",01,"2"
21,"4","4",4,01,01,"1","3",01,"2"
5,"3","4",2,01,01,"2","4",01,"2"
8,"4","4",2,01,01,"3","4",01,"2"
11,"2","4",3,01,01,"1","3",01,"2"
10,"3","3",2,01,01,"3","1",01,"2"
16,"4","4",2,01,01,"1","4",01,"2"
21,"4","4",3,01,01,"2","4",01,"2"
17,"3","3",3,01,01,"3","4",01,"2"
21,"4","4",4,01,01,"1","4",01,"2"
25,"4","4",4,01,01,"1","4",01,"2"
31,"4","4",5,01,01,"1","4",01,"2"
27,"4","4",9,01,01,"1","4",01,"2"
24,"4","4",5,01,01,"1","4",01,"2"
19,"4","4",3,01,01,"1","4",01,"2"
21,"4","4",4,01,01,"1","4",01,"2"
22,"4","4",4,01,01,"1","4",01,"2"
21,"4","4",5,01,01,"1","4",01,"2"
23,"4","4",3,01,01,"1","4",01,"2"
12,"3","3",2,01,01,"2","4",01,"2"
22,"4","3",9,01,01,"1","4",01,"2"
9,"1","4",2,01,01,"4","2",01,"2"
27,"2","4",9,01,01,"1","4",01,"2"
16,"4","4",4,01,01,"4","4",01,"2"
19,"2","3",3,01,01,"3","3",01,"2"
19,"4","4",5,01,01,"3","3",01,"2"
21,"4","4",5,01,01,"1","4",01,"2"
32,"4","4",9,01,01,"1","4",01,"2"
19,"4","4",4,01,01,"1","4",01,"2"
29,"4","4",7,01,01,"1","3",01,"2"
6,"4","4",2,01,01,"1","4",01,"2"
27,"4","4",7,01,01,"1","3",01,"2"
29,"4","4",5,01,01,"2","3",01,"2"
4,"4","4",2,01,01,"2","3",01,"2"
20,"1","3",8,01,01,"2","3",01,"2"
9,"4","4",2,01,01,"3","2",01,"2"
17,"3","4",8,01,01,"1","3",01,"2"
16,"3","3",3,01,01,"3","3",01,"2"
32,"3","4",12,01,01,"2","3",01,"2"
23,"4","4",7,01,01,"3","3",01,"2"
25,"4","4",5,01,01,"1","3",01,"2"
20,"3","3",5,01,01,"3","2",01,"2"
11,"3","4",4,01,01,"3","4",01,"2"
8,"4","3",4,01,01,"3","3",01,"2"
25,"4","4",7,01,01,"1","4",01,"2"
22,"4","4",4,01,01,"1","4",01,"2"
24,"4","4",6,01,01,"2","4",01,"2"
10,"4","4",3,01,01,"2","4",01,"2"
33,"4","4",5,01,01,"1","4",01,"2"
16,"4","4",4,01,01,"1","4",01,"2"
11,"4","4",2,01,01,"2","4",01,"2"
29,"4","4",6,01,01,"1","4",01,"2"
14,"4","4",2,01,01,"2","4",01,"2"
21,"2","1",7,01,01,"2","1",01,"2"
14,"4","4",3,01,01,"1","3",01,"2"
22,"2","3",8,01,01,"3","4",01,"2"
13,"3","3",4,01,01,"1","2",01,"2"
25,"2","3",7,01,01,"1","2",01,"2"
18,"4","4",5,01,01,"1","4",01,"2"
7,"4","4",2,01,01,"1","2",01,"2"
20,"3","4",6,01,01,"1","3",01,"2"
17,"4","4",4,01,01,"3","3",01,"2"
20,"4","4",6,01,01,"1","3",01,"2"
14,"4","4",3,01,01,"1","4",01,"2"
8,"3","3",3,01,01,"3","4",01,"2"
20,"4","4",3,01,01,"1","4",01,"2"
21,"4","4",4,01,01,"2","4",01,"2"
17,"4","4",3,01,01,"1","4",01,"2"
15,"4","1",5,01,01,"3","3",01,"2"
21,"4","4",5,01,01,"2","4",01,"2"
18,"4","4",4,01,01,"3","4",01,"2"
18,"3","4",6,01,01,"3","3",01,"2"
28,"2","4",14,01,01,"2","3",01,"2"
20,"3","3",7,01,01,"2","3",01,"2"
23,"4","4",6,01,01,"1","3",01,"2"
10,"3","1",5,01,01,"3","1",01,"2"
11,"3","3",3,01,01,"3","2",01,"2"
9,"4","4",2,01,01,"3","4",01,"2"
7,"3","4",2,01,01,"4","4",01,"2"
18,"2","3",6,01,01,"2","1",01,"2"
30,"3","3",8,01,01,"3","4",01,"2"
14,"4","4",3,01,01,"1","3",01,"2"
32,"2","2",8,01,01,"2","4",01,"2"
21,"3","2",7,01,01,"3","2",01,"2"
30,"3","3",9,01,01,"2","3",01,"2"
32,"4","4",7,01,01,"1","4",01,"2"
28,"3","4",3,01,01,"2","4",01,"2"
29,"4","4",8,01,01,"3","2",01,"2"
9,"2","4",3,01,01,"3","3",01,"2"
13,"4","4",3,01,01,"1","3",01,"2"
19,"4","4",6,01,01,"3","4",01,"2"
16,"3","4",5,01,01,"1","3",01,"2"
12,"4","4",4,01,01,"1","4",01,"2"
12,"3","3",2,01,01,"3","4",01,"2"
11,"4","4",2,01,01,"1","3",01,"2"
21,"3","4",8,01,01,"2","2",01,"2"
20,"4","4",5,01,01,"3","3",01,"2"
23,"4","4",7,01,01,"3","3",01,"2"
29,"4","4",8,01,01,"2","4",01,"2"
10,"4","4",2,01,01,"1","4",01,"2"
10,"4","4",3,01,01,"1","3",01,"2"
26,"4","4",5,01,01,"1","4",01,"2"
26,"3","4",6,01,01,"1","3",01,"2"
9,"4","4",2,01,01,"1","4",01,"2"
18,"4","4",4,01,01,"3","3",01,"2"
14,"4","4",4,01,01,"3","3",01,"2"
32,"4","4",5,01,01,"1","4",01,"2"
13,"4","4",5,01,01,"1","3",01,"2"
6,"2","2",2,01,01,"3","2",01,"2"
17,"3","3",7,01,01,"3","3",01,"2"
15,"3","4",3,01,01,"1","4",01,"2"
22,"4","4",6,01,01,"3","4",01,"2"
14,"4","3",5,01,01,"3","2",01,"2"
23,"4","4",4,01,01,"1","4",01,"2"
34,"3","3",12,01,01,"1","4",01,"2"
26,"3","3",6,01,01,"1","4",01,"2"
28,"3","4",6,01,01,"3","2",01,"2"
32,"1","1",11,01,01,"3","3",01,"2"
7,"4","4",2,01,01,"1","3",01,"2"
12,"4","4",2,01,01,"1","4",01,"2"
19,"3","4",3,01,01,"2","3",01,"2"
27,"3","3",5,01,01,"2","4",01,"2"
24,"4","4",4,01,01,"1","4",01,"2"
21,"4","4",4,01,01,"2","4",01,"2"
6,"4","4",2,01,01,"2","1",01,"2"
21,"3","4",5,01,01,"2","4",01,"2"
10,"2","3",2,01,01,"4","4",01,"2"
26,"4","4",5,01,01,"2","4",01,"2"
17,"4","4",5,01,01,"2","4",01,"2"
26,"4","4",5,01,01,"2","4",01,"2"
